article, year, half, quartile
1, 09, 1, 1
2, 09, 1, 1
3, 10, 2, 3
4, 12, 1, 1
5, 12, 1, 1
6, 12, 1, 1
7, 12, 1, 1
8, 12, 1, 1
9, 12, 1, 1
10, 12, 1, 1
11, 12, 1, 2
12, 12, 1, 2
13, 12, 1, 2
14, 12, 1, 2
15, 12, 1, 2
16, 12, 1, 2
17, 12, 1, 2
18, 12, 1, 2
19, 12, 1, 2
20, 12, 1, 2
21, 12, 1, 2
22, 12, 1, 2
23, 12, 1, 2
24, 12, 1, 2
25, 12, 1, 2
26, 12, 1, 2
27, 12, 1, 2
28, 12, 1, 2
29, 12, 1, 2
30, 12, 1, 2
31, 12, 1, 2
32, 12, 1, 2
33, 12, 1, 2
34, 12, 1, 2
35, 12, 1, 2
36, 12, 1, 2
37, 12, 1, 2
38, 12, 1, 2
39, 12, 2, 3
40, 12, 2, 3
41, 12, 2, 3
42, 12, 2, 3
43, 12, 2, 3
44, 12, 2, 3
45, 12, 2, 3
46, 12, 2, 3
47, 12, 2, 3
48, 12, 2, 3
49, 12, 2, 3
50, 12, 2, 3
51, 12, 2, 3
52, 12, 2, 3
53, 12, 2, 3
54, 12, 2, 3
55, 12, 2, 3
56, 12, 2, 3
57, 12, 2, 3
58, 12, 2, 3
59, 12, 2, 3
60, 12, 2, 3
61, 12, 2, 3
62, 12, 2, 3
63, 12, 2, 3
64, 12, 2, 3
65, 12, 2, 3
66, 12, 2, 3
67, 12, 2, 3
68, 12, 2, 3
69, 12, 2, 3
70, 12, 2, 3
71, 12, 2, 3
72, 12, 2, 3
73, 12, 2, 3
74, 12, 2, 3
75, 12, 2, 3
76, 12, 2, 3
77, 12, 2, 3
78, 12, 2, 3
79, 12, 2, 3
80, 12, 2, 3
81, 12, 2, 3
82, 12, 2, 3
83, 12, 2, 3
84, 12, 2, 3
85, 12, 2, 3
86, 12, 2, 3
87, 12, 2, 3
88, 12, 2, 3
89, 12, 2, 3
90, 12, 2, 3
91, 12, 2, 3
92, 12, 2, 3
93, 12, 2, 3
94, 12, 2, 3
95, 12, 2, 3
96, 12, 2, 3
97, 12, 2, 3
98, 12, 2, 3
99, 12, 2, 3
100, 12, 2, 3
101, 12, 2, 3
102, 12, 2, 3
103, 12, 2, 3
104, 12, 2, 3
105, 12, 2, 3
106, 12, 2, 3
107, 12, 2, 3
108, 12, 2, 3
109, 12, 2, 3
110, 12, 2, 3
111, 12, 2, 3
112, 12, 2, 3
113, 12, 2, 3
115, 12, 2, 3
116, 12, 2, 3
117, 12, 2, 3
118, 12, 2, 3
119, 12, 2, 3
120, 12, 2, 3
121, 12, 2, 3
122, 12, 2, 3
123, 12, 2, 3
124, 12, 2, 3
125, 12, 2, 3
126, 12, 2, 3
127, 12, 2, 3
128, 12, 2, 3
129, 12, 2, 3
130, 12, 2, 3
131, 12, 2, 3
132, 12, 2, 3
133, 12, 2, 3
134, 12, 2, 3
135, 12, 2, 3
136, 12, 2, 3
137, 12, 2, 3
138, 12, 2, 3
139, 12, 2, 3
140, 12, 2, 3
141, 12, 2, 3
142, 12, 2, 3
144, 12, 2, 3
145, 12, 2, 3
146, 12, 2, 3
147, 12, 2, 3
148, 12, 2, 3
149, 12, 2, 3
150, 12, 2, 3
151, 12, 2, 3
152, 12, 2, 3
153, 12, 2, 3
154, 12, 2, 3
155, 12, 2, 3
156, 12, 2, 3
157, 12, 2, 3
158, 12, 2, 3
159, 12, 2, 3
160, 12, 2, 3
161, 12, 2, 3
162, 12, 2, 3
163, 12, 2, 3
164, 12, 2, 3
165, 12, 2, 3
166, 12, 2, 3
167, 12, 2, 3
168, 12, 2, 3
169, 12, 2, 3
170, 12, 2, 3
171, 12, 2, 3
172, 12, 2, 3
173, 12, 2, 3
174, 12, 2, 3
175, 12, 2, 3
176, 12, 2, 3
177, 12, 2, 3
178, 12, 2, 3
179, 12, 2, 4
180, 12, 2, 4
181, 12, 2, 4
182, 12, 2, 4
183, 12, 2, 4
184, 12, 2, 4
185, 12, 2, 4
186, 12, 2, 4
187, 12, 2, 4
188, 12, 2, 4
189, 12, 2, 4
190, 12, 2, 4
191, 12, 2, 4
193, 12, 2, 4
194, 12, 2, 4
195, 12, 2, 4
196, 12, 2, 4
197, 12, 2, 4
198, 12, 2, 4
199, 12, 2, 4
200, 12, 2, 4
201, 12, 2, 4
202, 12, 2, 4
203, 12, 2, 4
204, 12, 2, 4
205, 12, 2, 4
206, 12, 2, 4
207, 12, 2, 4
208, 12, 2, 4
209, 12, 2, 4
210, 12, 2, 4
211, 12, 2, 4
212, 12, 2, 4
213, 12, 2, 4
214, 12, 2, 4
215, 12, 2, 4
216, 12, 2, 4
217, 12, 2, 4
218, 12, 2, 4
219, 12, 2, 4
220, 12, 2, 4
221, 12, 2, 4
222, 12, 2, 4
223, 12, 2, 4
224, 12, 2, 4
225, 12, 2, 4
226, 12, 2, 4
227, 12, 2, 4
228, 12, 2, 4
229, 12, 2, 4
230, 12, 2, 4
231, 12, 2, 4
232, 12, 2, 4
233, 12, 2, 4
234, 12, 2, 4
235, 12, 2, 4
236, 12, 2, 4
